threat_id,src_city,dst_city,src_state,dst_state,src_country,dst_country,src_longitude,dst_longitude,src_latitude,dst_latitude,atk_time,atk_type,atk_name
1100,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1101,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1102,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1103,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1104,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1105,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1106,Buerstadt,Bangkok,HE,10,Germany,Thailand,8.4594,100.65,49.6427,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1107,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1108,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1109,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1110,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1111,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1112,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1113,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1114,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1115,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1116,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1117,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1118,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1119,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1120,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
