GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                    
4500	00251037	Viejas Off-Reservation Trust Land	370690	0	0.143	0.	32.859703	-116.70523                                                                                                                  
4530	02419514	Wampanoag-Aquinnah Trust Land	1903942	21663	0.735	0.008	41.346455	-70.78627                                                                                                               
4545	01133438	Warm Springs Off-Reservation Trust Land	22064556	0	8.519	0.	45.651018	-120.478628                                                                                                         
4560	02419516	Washoe Ranches Trust Land	375530043	2705893	144.993	1.045	38.874042	-119.564603                                                                                                           
4595	01934333	White Earth Off-Reservation Trust Land	10177605	186669	3.93	0.072	47.155775	-95.310827                                                                                                    
4610	01597068	Wind River Off-Reservation Trust Land	20438904	0	7.892	0.	43.728538	-108.536707                                                                                                           
4625	00834982	Winnebago Off-Reservation Trust Land	464635	0	0.179	0.	41.687493	-96.371059                                                                                                               
4690	01502906	Yakama Nation Off-Reservation Trust Land	85211546	0	32.9	0.	45.867546	-119.919398                                                                                                         
4755	02419529	Ysleta del Sur Off-Reservation Trust Land	12756710	0	4.925	0.	31.90807	-106.017884                                                                                                        
4770	01934347	Zia Off-Reservation Trust Land	8525601	0	3.292	0.	35.49557	-106.797906                                                                                                                    
4785	01934346	Zuni Off-Reservation Trust Land	171535630	0	66.23	0.	34.7573	-108.929676                                                                                                                  
