GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
01103,1191846,205067,0.46,0.079,42.104106,-72.592027
01104,13509673,212849,5.216,0.082,42.134009,-72.565378
01105,3219039,306958,1.243,0.119,42.099958,-72.580765
01106,24016633,1343650,9.273,0.519,42.048054,-72.569275
01107,3903486,89142,1.507,0.034,42.12106,-72.607068
01108,9648068,406406,3.725,0.157,42.080692,-72.560791
01109,14096432,486419,5.443,0.188,42.119674,-72.549726
01118,9312232,260881,3.595,0.101,42.094587,-72.525219
01119,9194303,241735,3.55,0.093,42.124978,-72.51121
01128,2887381,1287,1.115,0.,42.092296,-72.489135
01129,8875271,237885,3.427,0.092,42.118671,-72.488203
01151,6135195,479251,2.369,0.185,42.15186,-72.509131
01199,28277,0,0.011,0.,42.120563,-72.604468
01201,137106474,6748010,52.937,2.605,42.448236,-73.273727
01220,63690789,189770,24.591,0.073,42.623808,-73.116741
01222,8566364,332862,3.307,0.129,42.058703,-73.322175
01223,180702263,5301210,69.77,2.047,42.312225,-73.110124
01224,720507,82246,0.278,0.032,42.513163,-73.195743
01225,65032903,1827514,25.109,0.706,42.563401,-73.153335
01226,68283556,366481,26.364,0.141,42.481119,-73.135073
01229,1899055,0,0.733,0.,42.277932,-73.332032
01230,237025976,4530266,91.516,1.749,42.173196,-73.32429
01235,118234579,2794601,45.651,1.079,42.425677,-73.063028
01236,12442179,157973,4.804,0.061,42.266496,-73.378393
01237,160145793,1132956,61.833,0.437,42.537915,-73.271649
01238,90220995,2706102,34.835,1.045,42.297501,-73.230148
01240,55367243,1155163,21.377,0.446,42.367858,-73.269763
01242,1289555,25168,0.498,0.01,42.333734,-73.249199
01243,48260334,57174,18.633,0.022,42.350122,-73.024112
01244,6345197,70886,2.45,0.027,42.118094,-73.257497
01245,72481256,2048210,27.985,0.791,42.186893,-73.223105
01247,136057274,1477071,52.532,0.57,42.698526,-73.0843
01253,47363359,1053732,18.287,0.407,42.206683,-73.113214
01254,37764323,148218,14.581,0.057,42.382019,-73.365492
01255,134158171,2980801,51.799,1.151,42.107496,-73.118607
01256,92861207,469863,35.854,0.181,42.594166,-73.02232
01257,93810159,2222469,36.22,0.858,42.085244,-73.367483
01258,66892284,399783,25.827,0.154,42.10928,-73.462886
01259,65561875,2041637,25.314,0.788,42.075469,-73.234376
01260,6503634,101867,2.511,0.039,42.295695,-73.342544
01262,31177103,2126240,12.038,0.821,42.292202,-73.319209
01264,29375249,90082,11.342,0.035,42.23159,-73.202428
01266,67475968,780826,26.053,0.301,42.312354,-73.388044
01267,141223298,327643,54.527,0.127,42.671617,-73.246981
01270,82502023,420999,31.854,0.163,42.515272,-73.031166
01301,66030223,1401116,25.494,0.541,42.626761,-72.60153
01330,86289946,631865,33.317,0.244,42.513947,-72.821517
01331,137853117,3588215,53.225,1.385,42.562394,-72.191044
01337,96461650,158969,37.244,0.061,42.689307,-72.582289
01338,8939558,12299,3.452,0.005,42.572488,-72.824145
01339,142261728,627965,54.928,0.242,42.603776,-72.889644
01340,113406095,668423,43.786,0.258,42.694731,-72.710956
01341,92502690,438366,35.715,0.169,42.492124,-72.709827
01342,46225210,2181781,17.848,0.842,42.543889,-72.609458
01343,12606820,94160,4.868,0.036,42.657625,-72.978933
01344,35252180,1378625,13.611,0.532,42.613418,-72.426428
01346,55312755,95459,21.356,0.037,42.693268,-72.823116
01347,1499173,216951,0.579,0.084,42.559294,-72.518753
