USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
MT	3023940	Shepherd Elementary School District	PK	08	612223667	1273121	236.381	0.492	46.022162	-108.412491                                                                                              
MT	3024150	Sheridan Elementary School District	PK	08	515268748	285611	198.946	0.11	45.454174	-112.0727                                                                                                  
MT	3024200	Sidney Elementary School District	PK	08	518411622	5523756	200.16	2.133	47.634611	-104.355229                                                                                                 
MT	3024300	Sun River Valley Elementary School District	PK	08	666491318	374787	257.334	0.145	47.49178	-111.810775                                                                                        
MT	3024690	Spring Creek Colony Elementary School District	PK	08	51279669	0	19.799	0.	47.164126	-109.600547                                                                                              
MT	3024780	Springdale Elementary School District	PK	08	275687391	1625428	106.444	0.628	45.694636	-110.242777                                                                                            
MT	3024810	Springhill Elementary School District	PK	08	80136618	2341	30.941	0.001	45.828453	-110.995994                                                                                                 
MT	3025020	Stevensville Elementary School District	PK	08	499602605	2887384	192.898	1.115	46.491691	-114.112746                                                                                          
MT	3025130	Centerville Elementary School District	PK	08	880014812	651330	339.776	0.251	47.237247	-111.207621                                                                                            
MT	3025380	Sunset Elementary School District	PK	08	528175727	3529938	203.93	1.363	47.018033	-113.515987                                                                                                 
MT	3025500	Swan River Elementary School District	PK	08	66191401	4889139	25.557	1.888	48.101645	-113.989384                                                                                              
MT	3025530	Swan Valley Elementary School District	PK	08	944602623	21092124	364.713	8.144	47.471748	-113.708813                                                                                          
MT	3025890	Target Range Elementary School District	PK	08	275766668	1570762	106.474	0.606	46.878743	-114.264888                                                                                          
MT	3026070	Thompson Falls Elementary School District	PK	08	2494649151	12047889	963.189	4.652	47.667711	-115.29575                                                                                       
MT	3026160	Three Forks Elementary School District	PK	08	881783057	7753063	340.458	2.993	45.946381	-111.503941                                                                                           
MT	3026400	Trail Creek Elementary School District	PK	08	2470728567	1637043	953.954	0.632	46.326404	-105.165433                                                                                          
MT	3026460	Trego Elementary School District	PK	08	431171058	4044772	166.476	1.562	48.650468	-114.89937                                                                                                  
MT	3026490	Trinity Elementary School District	PK	08	891814168	830517	344.331	0.321	46.779247	-112.321243                                                                                                
MT	3026520	Trout Creek Elementary School District	PK	08	657810623	26075479	253.982	10.068	47.939993	-115.699622                                                                                         
MT	3026550	Troy Elementary School District	PK	08	1109424279	13353378	428.351	5.156	48.409213	-115.870254                                                                                                
MT	3026640	Turner Elementary School District	PK	08	1328835770	1786103	513.066	0.69	48.800196	-108.478048                                                                                                
MT	3026880	Ulm Elementary School District	PK	08	152188756	1712782	58.76	0.661	47.431982	-111.567986                                                                                                     
MT	3027060	Valier Elementary School District	PK	08	857366656	32700944	331.031	12.626	48.397656	-112.332738                                                                                              
MT	3027150	Valley View Elementary School District	PK	08	67229775	895659	25.958	0.346	47.624098	-114.295254                                                                                              
MT	3027340	Vida Elementary School District	PK	08	1820428651	11056127	702.871	4.269	47.961153	-105.571148                                                                                                
MT	3027570	West Valley Elementary School District	PK	08	177336423	1135910	68.47	0.439	48.261293	-114.470139                                                                                             
MT	3027740	Whitefish Elementary School District	PK	08	772532923	23190636	298.277	8.954	48.523191	-114.432766                                                                                            
MT	3027810	Whitehall Elementary School District	PK	08	946482752	517270	365.439	0.2	45.885952	-112.187128                                                                                                
MT	3028140	Willow Creek Elementary School District	PK	08	326658595	3317341	126.124	1.281	45.790231	-111.644191                                                                                          
MT	3028500	Wisdom Elementary School District	PK	08	2209603614	3662051	853.133	1.414	45.680326	-113.500718                                                                                               
MT	3028550	Wolf Creek Elementary School District	PK	08	1697104395	20593549	655.256	7.951	47.037472	-112.091884                                                                                          
MT	3028590	Wolf Point Elementary School District	PK	08	956061164	4362253	369.137	1.684	48.301686	-105.717207                                                                                            
MT	3028650	Woodman Elementary School District	PK	08	680892153	391924	262.894	0.151	46.753934	-114.365895                                                                                                
MT	3028800	Wyola Elementary School District	PK	08	997995081	270474	385.328	0.104	45.091886	-107.315133                                                                                                  
MT	3028830	Yaak Elementary School District	PK	08	1326937697	5993073	512.334	2.314	48.826546	-115.630175                                                                                                 
MT	3028860	Yellowstone Academy Elementary School District	PK	08	1587958	0	0.613	0.	45.738115	-108.700806                                                                                                
MT	3028910	Zurich Elementary School District	PK	08	1293618438	1920337	499.469	0.741	48.731489	-109.007795                                                                                               
NH	3301380	Allenstown School District	KG	12	52998688	291215	20.463	0.112	43.143341	-71.386106                                                                                                           
NH	3301440	Alton School District	PK	08	164975337	50453890	63.697	19.48	43.488323	-71.240617                                                                                                             
NH	3301470	Amherst School District	KG	08	87826419	1313247	33.91	0.507	42.874824	-71.600533                                                                                                              
NH	3301500	Andover School District	KG	12	103982406	2319625	40.148	0.896	43.450724	-71.7906                                                                                                              
NH	3301560	Ashland School District	KG	08	29078837	1411795	11.227	0.545	43.725967	-71.642579                                                                                                             
NH	3301590	Auburn School District	KG	12	65655943	8963150	25.35	3.461	42.997059	-71.365806                                                                                                               
NH	3301620	Barnstead School District	PK	08	111516655	4874830	43.057	1.882	43.348588	-71.256896                                                                                                          
NH	3301650	Barrington School District	KG	12	120892684	5035518	46.677	1.944	43.215566	-71.03898                                                                                                          
NH	3301680	Bartlett School District	KG	12	193723079	1108444	74.797	0.428	44.077237	-71.221265                                                                                                           
NH	3301710	Bath School District	KG	12	97672445	2231947	37.712	0.862	44.182955	-71.987011                                                                                                                
NH	3301890	Bethlehem School District	KG	06	234654177	915838	90.6	0.354	44.260435	-71.609203                                                                                                             
NH	3302010	Brentwood School District	KG	05	43554508	408003	16.816	0.158	42.983723	-71.053998                                                                                                            
NH	3302070	Brookline School District	KG	06	51373287	934688	19.835	0.361	42.749263	-71.67567                                                                                                             
NH	3302100	Campton School District	KG	08	134254954	1810586	51.836	0.699	43.830865	-71.646072                                                                                                            
NH	3302130	Candia School District	KG	12	78575353	590885	30.338	0.228	43.056895	-71.340635                                                                                                               
NH	3302250	Chester School District	KG	12	67365786	293102	26.01	0.113	42.98453	-71.255104                                                                                                                
NH	3302280	Chesterfield School District	KG	12	117998289	5132995	45.559	1.982	42.888002	-72.443472                                                                                                       
NH	3302310	Chichester School District	KG	12	54875050	274156	21.187	0.106	43.265259	-71.408835                                                                                                           
NH	3302520	Cornish School District	KG	12	108638210	1720030	41.945	0.664	43.472988	-72.311749                                                                                                            
NH	3302550	Croydon School District	KG	12	95217047	2027574	36.764	0.783	43.444227	-72.178349                                                                                                             
NH	3302580	Deerfield School District	KG	12	131461778	3466315	50.758	1.338	43.136321	-71.255077                                                                                                          
