USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
VT	50023	01461768	Washington County	1779428779	21177320	687.041	8.177	44.274988	-72.609514                                                                                                              
VT	50025	01461769	Windham County	2034453051	32925199	785.507	12.712	42.995335	-72.721955                                                                                                                
VT	50027	01461770	Windsor County	2511194819	19362098	969.578	7.476	43.572685	-72.598821                                                                                                                 
VA	51001	01480091	Accomack County	1163706181	2229279715	449.309	860.73	37.765944	-75.757807                                                                                                             
VA	51003	01675170	Albemarle County	1866007831	14230112	720.47	5.494	38.024184	-78.553506                                                                                                                
VA	51005	01673675	Alleghany County	1156608816	8170515	446.569	3.155	37.787905	-80.008669                                                                                                                
VA	51007	01497770	Amelia County	920143514	8424053	355.269	3.253	37.331927	-77.977462                                                                                                                    
VA	51009	01480095	Amherst County	1227554630	12898695	473.962	4.98	37.62861	-79.154281                                                                                                                   
VA	51011	01497238	Appomattox County	865622497	3219010	334.219	1.243	37.370725	-78.81094                                                                                                                 
VA	51013	01480097	Arlington County	67333000	273562	25.997	0.106	38.878337	-77.100703                                                                                                                    
VA	51015	01480098	Augusta County	2504708478	9537636	967.073	3.683	38.171911	-79.147557                                                                                                                  
VA	51017	01673638	Bath County	1370626056	14039993	529.202	5.421	38.068368	-79.731203                                                                                                                    
VA	51019	01674818	Bedford County	1968605129	42118518	760.083	16.262	37.312223	-79.52708                                                                                                                 
VA	51021	01494613	Bland County	926311269	2547184	357.651	0.983	37.130612	-81.125853                                                                                                                     
VA	51023	01674418	Botetourt County	1401900412	12124776	541.277	4.681	37.565481	-79.797553                                                                                                               
VA	51025	01493961	Brunswick County	1466539956	8381933	566.234	3.236	36.764204	-77.861483                                                                                                                
VA	51027	01497431	Buchanan County	1302386948	2804418	502.854	1.083	37.26812	-82.038151                                                                                                                  
VA	51029	01501502	Buckingham County	1501215438	9911855	579.623	3.827	37.573928	-78.529169                                                                                                               
VA	51031	01674917	Campbell County	1303300940	8894442	503.207	3.434	37.210152	-79.095428                                                                                                                 
