GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1235,00024003,Fort Mojave Reservation,133535365,2778031,51.558,1.073,34.938272,-114.614511
1250,00805884,Fort Peck Indian Reservation,8516690163,35225904,3288.313,13.601,48.367538,-105.529709
1250,00805884,Fort Peck Off-Reservation Trust Land,948678,0,0.366,0.,48.14484,-104.597678
1260,02418940,Fort Pierce Reservation,244942,0,0.095,0.,27.402103,-80.434891
1270,02711352,Fort Sill Apache Indian Reservation,121466,0,0.047,0.,32.241491,-107.421431
1280,00242378,Fort Yuma Indian Reservation,178580595,3609004,68.95,1.393,32.796643,-114.676198
1310,00023998,Gila River Indian Reservation,1510974466,937536,583.391,0.362,33.150891,-111.931496
1340,01455300,Goshute Reservation,486449507,13114,187.819,0.005,39.868969,-114.074069
1355,00654523,Grand Portage Off-Reservation Trust Land,145754,0,0.056,0.,47.886713,-89.871018
1355,00654523,Grand Portage Reservation,192573175,3200852,74.353,1.236,47.965288,-89.737133
1365,02418950,Grand Ronde Community,41539443,0,16.038,0.,45.148791,-123.645978
1365,02418950,Grand Ronde Off-Reservation Trust Land,4815379,0,1.859,0.,45.077944,-123.61069
1370,02418951,Grand Traverse Off-Reservation Trust Land,3283922,0,1.268,0.,45.020534,-85.63091
1370,02418951,Grand Traverse Reservation,74273,0,0.029,0.,45.019964,-85.605696
1380,01666180,Greenville Rancheria,284692,0,0.11,0.,40.148784,-120.893399
1395,00266781,Grindstone Indian Rancheria,326144,22791,0.126,0.009,39.672688,-122.517608
1400,00224709,Guidiville Off-Reservation Trust Land,9493,0,0.004,0.,39.139044,-123.148502
1400,00224709,Guidiville Rancheria,175438,0,0.068,0.,39.165431,-123.16994
1410,01616983,Hannahville Indian Community,14424818,0,5.569,0.,45.779431,-87.433344
1410,01616983,Hannahville Off-Reservation Trust Land,9250376,0,3.572,0.,45.684531,-87.341992
1440,00045638,Havasupai Reservation,714400025,0,275.831,0.,36.160989,-112.613439
1450,02418963,Ho-Chunk Nation Off-Reservation Trust Land,32395308,175961,12.508,0.068,44.861826,-89.152124
1450,02418963,Ho-Chunk Nation Reservation,8887613,72893,3.432,0.028,43.363041,-89.755437
1460,01505548,Hoh Indian Reservation,1769173,12010,0.683,0.005,47.739964,-124.421711
1460,01505548,Hoh Off-Reservation Trust Land,1755019,0,0.678,0.,47.735091,-124.396328
1475,00284183,Hollywood Reservation,1991518,56408,0.769,0.022,26.041869,-80.212038
1490,00251972,Hoopa Valley Reservation,364418755,2369202,140.703,0.915,41.093371,-123.673442
1505,00024001,Hopi Off-Reservation Trust Land,683834,0,0.264,0.,35.034691,-110.74845
1505,00024001,Hopi Reservation,6557654665,2407606,2531.925,0.93,35.922349,-110.608367
1515,00225577,Hopland Rancheria,8151731,3794,3.147,0.001,38.999571,-123.038384
